ID Фамилия     Имя         Отчество      Пол     Форма    Гр.  № ВВвИТ Матан А_и_Г Истор Ин_Яз Прог1 Прог2 Филос Изменен        
1  Ярмольника  Валентина   Романовна     женский вечерняя 1234 9 отл   отл   отл   отл   отл   отл   отл   отл   13-апреля-2020 
2  Рябец       Фома        Эмилевич      мужской вечерняя 1234 5 хор   хор   уд    неуд  хор   неуд  хор   уд    29-марта-2020  
5  Сухиха      Вероника    Романовна     женский вечерняя 1234 6 хор   уд    уд    хор   отл   хор   хор   отл   30-марта-2020  
6  Негес       Мстислав    Дмитриевич    мужской вечерняя 1234 3 отл   уд    хор   хор   отл   отл   хор   отл   30-марта-2020  
7  Тюрин       Борис       Сергеевич     мужской вечерняя 1234 7 отл   отл   отл   отл   отл   отл   отл   отл   29-марта-2020  
8  Летавина    Клара       Вячеславовна  женский вечерняя 1234 2 хор   хор   уд    неуд  хор   неуд  хор   уд    28-марта-2020  
9  Фламин      Мстислав    Потапович     мужской вечерняя 1234 8 хор   уд    уд    неуд  отл   хор   хор   уд    27-марта-2020  
10 Коржаева    Дарья       Игнатиевна    женский вечерняя 1234 1 отл   отл   неуд  отл   уд    отл   отл   отл   27-марта-2020  
16 Лашманова   Фаина       Марковна      женский очная    1111 5 отл   отл   неуд  отл   отл   хор   отл   отл   29-марта-2020  
17 Будылина    Рената      Романовна     женский очная    1111 1 хор   уд    уд    хор   отл   хор   хор   отл   29-марта-2020  
18 Семенова    Ева         Кузьмевна     женский очная    1111 7 отл   уд    хор   хор   отл   отл   хор   отл   29-марта-2020  
21 Щередин     Марк        Григориевич   мужской очная    1111 9 хор   уд    уд    неуд  отл   хор   хор   уд    29-марта-2020  
22 Чукчов      Трофим      Геннадиевич   мужской очная    1111 8 отл   отл   неуд  отл   уд    отл   отл   отл   30-марта-2020  
23 Кирилишен   Харитон     Остапович     мужской очная    1111 4 хор   хор   уд    хор   уд    хор   хор   отл   30-марта-2020  
24 Жигунов     Варфоломей  Якубович      мужской очная    1111 3 отл   отл   хор   хор   отл   отл   хор   отл   29-марта-2020  
25 Галиаскаров Трофим      Никифорович   мужской очная    1111 2 отл   отл   отл   отл   отл   отл   отл   отл   28-марта-2020  
31 Огурцов     Аркадий     Саввевич      мужской заочная  3030 5 отл   отл   отл   отл   отл   отл   отл   отл   29-марта-2020  
32 Гагарин     Герасим     Егорович      мужской заочная  3030 2 хор   хор   уд    неуд  хор   неуд  хор   уд    29-марта-2020  
33 Шипицына    Валерия     Александровна женский заочная  3030 7 хор   уд    уд    неуд  отл   хор   хор   уд    29-марта-2020  
34 Витаева     Ариадна     Никитевна     женский заочная  3030 1 отл   отл   неуд  отл   уд    отл   отл   отл   13-апреля-2020 
35 Мячина      Таисия      Олеговна      женский заочная  3030 4 хор   хор   уд    хор   уд    хор   хор   отл   29-марта-2020  
36 Храмова     Милена      Якововна      женский заочная  3030 6 отл   отл   хор   хор   отл   отл   хор   отл   29-марта-2020  
37 Карамзин    Василий     Проклович     мужской заочная  3030 3 отл   отл   отл   отл   отл   отл   отл   отл   29-марта-2020  
41 Созонтова   Ольга       Ефимовна      женский очная    7777 1 хор   уд    уд    неуд  отл   хор   хор   уд    29-марта-2020  
42 Кайназарова Анна        Марковна      женский очная    7777 1 отл   отл   неуд  отл   отл   хор   отл   отл   28-марта-2020  
43 Сильвестров Феофан      Ефремович     мужской очная    7777 2 хор   уд    уд    хор   отл   хор   хор   отл   27-марта-2020  
44 Лимаров     Харитон     Андриянович   мужской очная    7777 1 отл   уд    хор   хор   отл   отл   хор   отл   27-марта-2020  
45 Ширманова   Дина        Несторовна    женский очная    7777 1 отл   отл   отл   отл   отл   отл   отл   отл   30-марта-2020  
49 Куджиашвили Станислав   Агапович      мужской очная    7777 1 хор   хор   уд    неуд  хор   неуд  хор   уд    28-марта-2020  
50 Ямбушева    Зоя         Фомевна       женский очная    7777 1 хор   уд    уд    неуд  отл   хор   хор   уд    29-марта-2020  
51 Петров      Иван        Васильевич    мужской очная    1111 6 отл   хор   отл   отл   хор   уд    хор   отл   13-апреля-2020 
52 Никитин     Павел       Степанович    мужской вечерняя 1234 4 хор   отл   хор   отл   хор   отл   хор   отл   13-апреля-2020 
